gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	nan	11.3547	11.5722	11.6806	11.4541	11.6615	
CISD1	nan	11.3118	11.2851	11.0741	10.6097	10.8891	
VDAC1	nan	8.5398	8.6058	8.7064	12.22	8.4894	
SORBS3	nan	8.73175	8.8706	9.073	9.3183	9.0786	
SPDEF	nan	6.8858	6.5197	6.1633	6.32465	6.921	
ATF1	nan	7.7483	7.7296	7.3485	7.15415	7.4973	
SPAG4	nan	4.77515	4.5218	4.3801	4.79355	4.897	
E2F2	nan	4.3916	4.9436	4.897	4.21645	4.4884	
RHEB	nan	11.615	11.5977	11.4969	11.7533	11.6879	
IGF1R	nan	9.1661	8.7545	9.0131	9.35095	8.8555	
SLC5A6	nan	9.07105	9.4822	9.4851	9.3687	9.3445	
FOXO3	nan	5.8577	6.2231	6.0773	6.9608	6.3809	
RGS2	nan	9.81925	9.666	9.2866	8.3671	8.9299	
GSTM2	nan	4.6791	4.1942	4.6433	4.9101	4.8439	
SCYL3	nan	4.5975	5.317	4.0888	4.9713	4.2446	
RHOA	nan	9.04355	9.2805	9.1207	9.0314	9.1752	
TBX2	nan	4.2263	4.3801	4.3873	4.3474	4.3053	
DNAJA3	nan	9.10245	13.1197	12.8759	12.8297	12.7694	
IL1B	nan	5.10485	5.2315	5.0057	5.0175	5.5541	
ASAH1	nan	8.935	8.9223	8.7775	9.44075	9.2187	
DCUN1D4	nan	7.9293	8.0074	8.7097	8.12115	8.0523	
DYRK3	nan	6.03645	5.9601	5.746	5.419	6.1001	
RALA	nan	8.20345	8.2122	8.0162	8.0282	8.0639	
ARHGEF12	nan	5.68115	5.635	6.148	7.3408	6.0793	
POLG2	nan	7.76535	7.5453	7.2969	6.6066	7.2762	
SOX2	nan	6.42145	6.398	6.1074	6.50855	6.6539	
TRAPPC3	nan	10.2537	10.4176	10.5942	8.45185	11.0087	
SERPINE1	nan	8.14525	7.9116	7.3339	5.6409	7.2218	
TCFL5	nan	4.81275	4.492	4.7	5.6932	4.6468	
CRK	nan	9.83525	9.9451	9.866	9.8018	9.8008	
HLA-DMA	nan	4.70005	5.0467	5.0057	6.2496	5.7804	
EGF	nan	4.07935	4.0359	4.1968	3.70105	3.8776	
RBM34	nan	7.52105	10.1851	10.0603	10.0788	9.9924	
ITGB1BP1	nan	10.4389	10.3163	5.2337	10.0312	10.2583	
SPTLC2	nan	5.35085	5.3339	5.7691	5.3697	5.5991	
ACLY	nan	11.7573	11.8312	11.6615	12.4205	11.7038	
APP	nan	13.1925	12.945	13.0791	12.9967	12.945	
RAD51C	nan	7.9939	7.9751	7.9379	7.0098	8.325	
TSKU	nan	9.036	9.0953	9.4225	10.5747	9.782	
SMC1A	nan	9.35315	9.7173	9.0212	8.42775	9.175	
TMEM2	nan	9.48455	9.1798	9.4162	9.59445	9.1855	
NOS3	nan	4.14095	4.0888	4.1942	3.886	4.1394	
YME1L1	nan	9.4481	9.4556	9.4098	9.37235	9.4462	
ACAA1	nan	7.2232	7.2878	7.2275	8.2527	7.3123	
CSNK1A1	nan	8.66455	8.627	8.4194	8.9717	8.5004	
HSPA8	nan	11.5029	11.5065	11.4289	11.2031	10.9654	
NFATC4	nan	5.5286	5.3339	5.3894	4.82865	5.6305	
CCNB1	nan	12.4296	12.5044	12.1013	11.521	12.1813	
TBP	nan	8.34955	8.3345	8.2325	7.53695	7.9328	
SLC2A6	nan	8.88285	8.9616	9.4454	11.6875	10.1335	
WFS1	nan	7.15425	7.0901	7.0518	6.8691	7.0144	
EZH2	nan	8.19595	8.5733	8.2569	7.6277	8.6512	
UBE3B	nan	8.2674	7.9874	7.8498	8.7311	8.1127	
ICAM3	nan	5.66045	5.6208	5.624	5.83825	5.7527	
NPDC1	nan	9.01145	9.1915	9.5046	10.2171	9.3401	
ALDH7A1	nan	8.3153	8.3009	8.4313	8.7525	8.722	
BRCA1	nan	7.4389	7.3557	7.3755	5.33995	6.9703	
NFATC3	nan	10.9072	6.2607	11.0841	10.9671	10.9484	
PSMD4	nan	10.9213	11.1923	11.0906	10.972	10.956	
PCNA	nan	13.8331	13.8682	13.7514	13.3581	13.7514	
